entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Aguascalientes,Canadá,2007,1,2007-03-01,0.020409999999999998
Aguascalientes,Chile,2007,1,2007-03-01,0
Aguascalientes,"China, República Popular de",2007,1,2007-03-01,0
Aguascalientes,Colombia,2007,1,2007-03-01,0
Aguascalientes,"Corea, República de",2007,1,2007-03-01,0
Aguascalientes,Dinamarca,2007,1,2007-03-01,0
Aguascalientes,Ecuador,2007,1,2007-03-01,0
Aguascalientes,El Salvador,2007,1,2007-03-01,0
Aguascalientes,España,2007,1,2007-03-01,6.7541330000000004
Aguascalientes,Estados Unidos de América,2007,1,2007-03-01,17.597849999999998
Aguascalientes,Francia,2007,1,2007-03-01,-3.9356719999999994
Aguascalientes,Guatemala,2007,1,2007-03-01,0
Aguascalientes,Hong Kong,2007,1,2007-03-01,0
Aguascalientes,India,2007,1,2007-03-01,0
Aguascalientes,Italia,2007,1,2007-03-01,0
Aguascalientes,Japón,2007,1,2007-03-01,22.140478999999999
Aguascalientes,Luxemburgo,2007,1,2007-03-01,0
Aguascalientes,Nicaragua,2007,1,2007-03-01,0
Aguascalientes,Países Bajos,2007,1,2007-03-01,0
Aguascalientes,Panamá,2007,1,2007-03-01,0
Aguascalientes,Perú,2007,1,2007-03-01,0
Aguascalientes,Portugal,2007,1,2007-03-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2007,1,2007-03-01,-0.124334
Aguascalientes,República Checa,2007,1,2007-03-01,0.399615
Aguascalientes,Singapur,2007,1,2007-03-01,5.1664580000000004
Aguascalientes,Suecia,2007,1,2007-03-01,0
Aguascalientes,Suiza,2007,1,2007-03-01,0.0014170000000000001
Aguascalientes,Taiwán,2007,1,2007-03-01,0
Aguascalientes,Uruguay,2007,1,2007-03-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2007,1,2007-03-01,0
Aguascalientes,Otros países,2007,1,2007-03-01,2.2306140000000001
Aguascalientes,Alemania,2007,2,2007-06-01,0.48935899999999999
Aguascalientes,Argentina,2007,2,2007-06-01,0
Aguascalientes,Australia,2007,2,2007-06-01,0
Aguascalientes,Austria,2007,2,2007-06-01,0
Aguascalientes,Bélgica,2007,2,2007-06-01,1.2889219999999999
Aguascalientes,Brasil,2007,2,2007-06-01,1.7119360000000001
Aguascalientes,Canadá,2007,2,2007-06-01,2.0775069999999998
Aguascalientes,Chile,2007,2,2007-06-01,0
Aguascalientes,"China, República Popular de",2007,2,2007-06-01,0
Aguascalientes,Colombia,2007,2,2007-06-01,0
Aguascalientes,"Corea, República de",2007,2,2007-06-01,1.2772960000000002
Aguascalientes,Dinamarca,2007,2,2007-06-01,0
Aguascalientes,Ecuador,2007,2,2007-06-01,0
Aguascalientes,El Salvador,2007,2,2007-06-01,0
Aguascalientes,España,2007,2,2007-06-01,6.5400900000000002
Aguascalientes,Estados Unidos de América,2007,2,2007-06-01,6.4061520000000005
Aguascalientes,Francia,2007,2,2007-06-01,8.9345889999999972
Aguascalientes,Guatemala,2007,2,2007-06-01,0
Aguascalientes,Hong Kong,2007,2,2007-06-01,0
Aguascalientes,India,2007,2,2007-06-01,0
Aguascalientes,Italia,2007,2,2007-06-01,0
Aguascalientes,Japón,2007,2,2007-06-01,57.885992000000002
Aguascalientes,Luxemburgo,2007,2,2007-06-01,0
Aguascalientes,Nicaragua,2007,2,2007-06-01,0
Aguascalientes,Países Bajos,2007,2,2007-06-01,0
Aguascalientes,Panamá,2007,2,2007-06-01,0
Aguascalientes,Perú,2007,2,2007-06-01,0
Aguascalientes,Portugal,2007,2,2007-06-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2007,2,2007-06-01,2.53938
Aguascalientes,República Checa,2007,2,2007-06-01,1.3455109999999999
Aguascalientes,Singapur,2007,2,2007-06-01,0.084302000000000002
Aguascalientes,Suecia,2007,2,2007-06-01,0
Aguascalientes,Suiza,2007,2,2007-06-01,0
Aguascalientes,Taiwán,2007,2,2007-06-01,0
